shape,setup,operation,baseline_ms,optimized_ms,speedup,baseline_fraction,optimized_fraction
small B1S32D128,"B=1,S=32,D=128,H=4,FFN=512,L=1",norm1,0.006605,0.006861,0.963,0.0367,0.0571
small B1S32D128,"B=1,S=32,D=128,H=4,FFN=512,L=1",QKV projection,0.041318,0.020726,1.994,0.2296,0.1726
small B1S32D128,"B=1,S=32,D=128,H=4,FFN=512,L=1",attention core,0.037107,0.015002,2.474,0.2062,0.1249
small B1S32D128,"B=1,S=32,D=128,H=4,FFN=512,L=1",output projection,0.015616,0.011776,1.326,0.0868,0.0980
small B1S32D128,"B=1,S=32,D=128,H=4,FFN=512,L=1",residual + norm2 (out-of-place),0.014643,0.014592,1.004,0.0814,0.1215
small B1S32D128,"B=1,S=32,D=128,H=4,FFN=512,L=1",residual + norm2 (in-place),0.020026,0.019610,1.021,0.1113,0.1633
small B1S32D128,"B=1,S=32,D=128,H=4,FFN=512,L=1",FFN (linear + GELU + linear),0.044646,0.031539,1.416,0.2481,0.2626
default B8S128D512,"B=8,S=128,D=512,H=8,FFN=2048,L=1",norm1,0.014182,0.017306,0.820,0.0096,0.0106
default B8S128D512,"B=8,S=128,D=512,H=8,FFN=2048,L=1",QKV projection,0.294349,0.303053,0.971,0.1988,0.1857
default B8S128D512,"B=8,S=128,D=512,H=8,FFN=2048,L=1",attention core,0.091750,0.139622,0.657,0.0620,0.0856
default B8S128D512,"B=8,S=128,D=512,H=8,FFN=2048,L=1",output projection,0.121651,0.139520,0.872,0.0822,0.0855
default B8S128D512,"B=8,S=128,D=512,H=8,FFN=2048,L=1",residual + norm2 (out-of-place),0.024218,0.052070,0.465,0.0164,0.0319
default B8S128D512,"B=8,S=128,D=512,H=8,FFN=2048,L=1",residual + norm2 (in-place),0.030054,0.050182,0.599,0.0203,0.0308
default B8S128D512,"B=8,S=128,D=512,H=8,FFN=2048,L=1",FFN (linear + GELU + linear),0.904150,0.930048,0.972,0.6108,0.5700
batch B4S64D512,"B=4,S=64,D=512,H=8,FFN=2048,L=1",norm1,0.009826,0.009062,1.084,0.0228,0.0202
batch B4S64D512,"B=4,S=64,D=512,H=8,FFN=2048,L=1",QKV projection,0.111360,0.058368,1.908,0.2579,0.1304
batch B4S64D512,"B=4,S=64,D=512,H=8,FFN=2048,L=1",attention core,0.047155,0.022528,2.093,0.1092,0.0503
batch B4S64D512,"B=4,S=64,D=512,H=8,FFN=2048,L=1",output projection,0.037379,0.038554,0.970,0.0866,0.0861
batch B4S64D512,"B=4,S=64,D=512,H=8,FFN=2048,L=1",residual + norm2 (out-of-place),0.013320,0.048896,0.272,0.0308,0.1092
batch B4S64D512,"B=4,S=64,D=512,H=8,FFN=2048,L=1",residual + norm2 (in-place),0.017459,0.048949,0.357,0.0404,0.1093
batch B4S64D512,"B=4,S=64,D=512,H=8,FFN=2048,L=1",FFN (linear + GELU + linear),0.195328,0.221333,0.883,0.4523,0.4944
long B2S512D512,"B=2,S=512,D=512,H=8,FFN=2048,L=1",norm1,0.015718,0.019507,0.806,0.0079,0.0096
long B2S512D512,"B=2,S=512,D=512,H=8,FFN=2048,L=1",QKV projection,0.297472,0.334643,0.889,0.1493,0.1646
long B2S512D512,"B=2,S=512,D=512,H=8,FFN=2048,L=1",attention core,0.517888,0.525621,0.985,0.2600,0.2585
long B2S512D512,"B=2,S=512,D=512,H=8,FFN=2048,L=1",output projection,0.123904,0.111768,1.109,0.0622,0.0550
long B2S512D512,"B=2,S=512,D=512,H=8,FFN=2048,L=1",residual + norm2 (out-of-place),0.024525,0.048226,0.509,0.0123,0.0237
long B2S512D512,"B=2,S=512,D=512,H=8,FFN=2048,L=1",residual + norm2 (in-place),0.030467,0.049976,0.610,0.0153,0.0246
long B2S512D512,"B=2,S=512,D=512,H=8,FFN=2048,L=1",FFN (linear + GELU + linear),0.981811,0.943258,1.041,0.4929,0.4640
wide B4S128D1024,"B=4,S=128,D=1024,H=16,FFN=4096,L=1",norm1,0.010899,0.015770,0.691,0.0042,0.0052
wide B4S128D1024,"B=4,S=128,D=1024,H=16,FFN=4096,L=1",QKV projection,0.523674,0.692838,0.756,0.2029,0.2297
wide B4S128D1024,"B=4,S=128,D=1024,H=16,FFN=4096,L=1",attention core,0.120781,0.140800,0.858,0.0468,0.0467
wide B4S128D1024,"B=4,S=128,D=1024,H=16,FFN=4096,L=1",output projection,0.231373,0.239770,0.965,0.0897,0.0795
wide B4S128D1024,"B=4,S=128,D=1024,H=16,FFN=4096,L=1",residual + norm2 (out-of-place),0.021040,0.049254,0.427,0.0082,0.0163
wide B4S128D1024,"B=4,S=128,D=1024,H=16,FFN=4096,L=1",residual + norm2 (in-place),0.027136,0.050069,0.542,0.0105,0.0166
wide B4S128D1024,"B=4,S=128,D=1024,H=16,FFN=4096,L=1",FFN (linear + GELU + linear),1.645926,1.828403,0.900,0.6378,0.6061
