shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00000,PASS,0,32768,1.2966,1.3005,0.997
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00001,PASS,0,32768,1.2955,1.4069,0.921
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00010,PASS,0,32768,1.3026,1.4611,0.892
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00011,PASS,0,32768,1.3391,1.4961,0.895
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00100,PASS,0,32768,1.3201,2.7910,0.473
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00101,PASS,0,32768,1.1965,1.3959,0.857
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00110,PASS,0,32768,1.3007,2.8086,0.463
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",00111,PASS,0,32768,1.2969,1.4608,0.888
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01000,PASS,0,32768,1.2501,1.1732,1.066
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01001,PASS,0,32768,1.2792,1.2386,1.033
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01010,PASS,0,32768,1.2931,1.2728,1.016
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01011,PASS,0,32768,1.2841,1.2655,1.015
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01100,PASS,0,32768,1.2372,2.4798,0.499
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01101,PASS,0,32768,1.2997,1.2431,1.045
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01110,PASS,0,32768,1.3057,2.6556,0.492
batch×sequence,B1 S32,"B=1,S=32,D=512,H=8,FFN=2048,L=6",01111,PASS,0,32768,1.2972,1.2842,1.010
