shape_group,shape,setup,technique,accuracy,failed,checked,baseline_ms,optimized_ms,speedup
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00000,PASS,0,19922944,1.3227,1.3001,1.017
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00001,PASS,0,19922944,1.3255,1.3063,1.015
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00010,PASS,0,19922944,1.3284,1.3367,0.994
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00011,PASS,0,19922944,1.3335,1.3397,0.995
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00100,PASS,0,19922944,1.3248,1.4742,0.899
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00101,PASS,0,19922944,1.3281,1.4923,0.890
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00110,PASS,0,19922944,1.3284,1.5193,0.874
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",00111,PASS,0,19922944,1.3276,1.5140,0.877
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01000,PASS,0,19922944,1.3274,1.0008,1.326
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01001,PASS,0,19922944,1.3295,1.0021,1.327
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01010,PASS,0,19922944,1.3315,1.0265,1.297
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01011,PASS,0,19922944,1.3299,1.0272,1.295
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01100,PASS,0,19922944,1.3298,1.1618,1.145
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01101,PASS,0,19922944,1.3276,1.1660,1.139
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01110,PASS,0,19922944,1.3247,1.1801,1.122
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",01111,PASS,0,19922944,1.3304,1.1948,1.113
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10000,PASS,0,19922944,1.3340,1.3677,0.975
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10001,PASS,0,19922944,1.3342,1.3694,0.974
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10010,PASS,0,19922944,1.3346,1.3953,0.957
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10011,PASS,0,19922944,1.3337,1.3946,0.956
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10100,PASS,0,19922944,1.3358,1.4091,0.948
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10101,PASS,0,19922944,1.3346,1.4340,0.931
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10110,PASS,0,19922944,1.3349,1.4849,0.899
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",10111,PASS,0,19922944,1.3420,1.7558,0.764
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11000,PASS,0,19922944,1.3291,0.8905,1.493
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11001,PASS,0,19922944,1.3317,0.8927,1.492
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11010,PASS,0,19922944,1.3324,0.9195,1.449
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11011,PASS,0,19922944,1.3319,0.9192,1.449
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11100,PASS,0,19922944,1.3332,1.0236,1.302
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11101,PASS,0,19922944,1.3326,1.0081,1.322
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11110,PASS,0,19922944,1.3307,1.0521,1.265
appendix test shape,#1 B64 D128 H4 S128 L4,"B=64,S=128,D=128,H=4,FFN=128,L=4,causal=True",11111,PASS,0,19922944,1.3304,1.0584,1.257
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00000,PASS,0,311296,0.7423,0.7414,1.001
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00001,PASS,0,311296,0.7577,0.7778,0.974
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00010,PASS,0,311296,0.7270,0.7578,0.959
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00011,PASS,0,311296,0.7552,0.7983,0.946
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00100,PASS,0,311296,0.7468,1.6823,0.444
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00101,PASS,0,311296,0.7531,0.7814,0.964
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00110,PASS,0,311296,0.7522,1.7778,0.423
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",00111,PASS,0,311296,0.7534,0.8106,0.929
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01000,PASS,0,311296,0.7601,0.5407,1.406
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01001,PASS,0,311296,0.7530,0.5415,1.391
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01010,PASS,0,311296,0.7528,0.5808,1.296
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01011,PASS,0,311296,0.6704,0.5355,1.252
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01100,PASS,0,311296,0.7357,1.3336,0.552
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01101,PASS,0,311296,0.7294,0.5259,1.387
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01110,PASS,0,311296,0.7334,1.3945,0.526
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",01111,PASS,0,311296,0.7325,0.5624,1.303
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10000,PASS,0,311296,0.7695,0.6421,1.199
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10001,PASS,0,311296,0.7615,0.6414,1.187
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10010,PASS,0,311296,0.6633,0.5847,1.134
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10011,PASS,0,311296,0.7399,0.6572,1.126
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10100,PASS,0,311296,0.6892,1.4788,0.466
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10101,PASS,0,311296,0.7434,0.6297,1.181
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10110,PASS,0,311296,0.6665,1.5307,0.435
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",10111,PASS,0,311296,0.7417,0.6600,1.124
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11000,PASS,0,311296,0.7409,0.3863,1.918
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11001,PASS,0,311296,0.7421,0.3858,1.924
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11010,PASS,0,311296,0.7373,0.4142,1.780
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11011,PASS,0,311296,0.7342,0.4142,1.773
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11100,PASS,0,311296,0.6573,1.0413,0.631
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11101,PASS,0,311296,0.6499,0.3453,1.882
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11110,PASS,0,311296,0.6453,1.0623,0.607
appendix test shape,#2 B1 D128 H4 S128 L4,"B=1,S=128,D=128,H=4,FFN=128,L=4,causal=True",11111,PASS,0,311296,0.6519,0.3733,1.746
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00000,PASS,0,1245184,0.6414,0.6399,1.002
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00001,PASS,0,1245184,0.6394,0.6586,0.971
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00010,PASS,0,1245184,0.6415,0.6857,0.936
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00011,PASS,0,1245184,0.6454,0.6876,0.939
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00100,PASS,0,1245184,0.6473,1.5088,0.429
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00101,PASS,0,1245184,0.6483,0.6683,0.970
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00110,PASS,0,1245184,0.6428,1.5466,0.416
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",00111,PASS,0,1245184,0.6410,0.6892,0.930
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01000,PASS,0,1245184,0.6460,0.4663,1.385
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01001,PASS,0,1245184,0.6455,0.4664,1.384
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01010,PASS,0,1245184,0.6424,0.4902,1.310
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01011,PASS,0,1245184,0.6707,0.5028,1.334
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01100,PASS,0,1245184,0.6489,1.1743,0.553
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01101,PASS,0,1245184,0.6439,0.4668,1.379
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01110,PASS,0,1245184,0.7216,1.2438,0.580
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",01111,PASS,0,1245184,0.6571,0.5056,1.299
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10000,PASS,0,1245184,0.6485,0.5795,1.119
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10001,PASS,0,1245184,0.6489,0.5848,1.110
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10010,PASS,0,1245184,0.6457,0.6049,1.068
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10011,PASS,0,1245184,0.6513,0.6121,1.064
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10100,PASS,0,1245184,0.6466,1.4296,0.452
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10101,PASS,0,1245184,0.6422,0.5813,1.105
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10110,PASS,0,1245184,0.6460,1.4927,0.433
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",10111,PASS,0,1245184,0.6444,0.6110,1.055
appendix test shape,#3 B4 D128 H4 S128 L4,"B=4,S=128,D=128,H=4,FFN=128,L=4,causal=True",11000,PASS,0,1245184,0.6460,0.3344,1.932
