case_id,batch_size,d_model,heads,seq_len,layers,ffn_dim,causal,status,accuracy_status,accuracy_failed,accuracy_total,baseline_median_ms,optimized_median_ms,speedup,duration_seconds
1,64,128,4,128,4,128,True,PASS,PASS,0,20971520,1.1246,0.7847,1.433,4.4806671142578125
2,1,128,4,128,4,128,True,PASS,PASS,0,327680,0.8998,0.7248,1.241,3.462167739868164
3,4,128,4,128,4,128,True,PASS,PASS,0,1310720,0.9422,0.7308,1.289,3.622936725616455
4,16,128,4,128,4,128,True,PASS,PASS,0,5242880,0.9347,0.7246,1.29,3.595757484436035
5,128,128,4,128,4,128,True,PASS,PASS,0,41943040,2.0134,1.0779,1.868,5.228880167007446
6,10000,128,4,128,4,128,True,PASS,PASS,0,3276800000,264.0704,90.981,2.902,372.70850443840027
7,64,32,4,128,4,32,True,PASS,PASS,0,5242880,0.9433,0.9433,1.0,3.4329769611358643
8,64,1024,4,128,4,1024,True,PASS,PASS,0,167772160,7.3827,7.6202,0.969,17.308998107910156
9,64,128,1,128,4,128,True,PASS,PASS,0,20971520,0.8867,0.76,1.167,4.746148347854614
10,64,128,2,128,4,128,True,PASS,PASS,0,20971520,0.9458,0.7448,1.27,3.541918992996216
11,64,128,16,128,4,128,True,PASS,PASS,0,20971520,3.5079,3.5129,0.999,8.76492714881897
12,64,128,4,32,4,128,True,PASS,PASS,0,5242880,0.9163,0.7326,1.251,3.6686501502990723
13,64,128,4,1024,4,128,True,PASS,PASS,0,167772160,69.9016,70.157,0.996,147.33828043937683
14,32,1024,16,100000,2,1024,True,PREFLIGHT_BLOCKED,,,,,,,0.0
