case_id,batch_size,d_model,heads,seq_len,layers,ffn_dim,causal,status,accuracy_status,accuracy_failed,accuracy_total,baseline_median_ms,optimized_median_ms,speedup,duration_seconds
1,64,128,4,128,4,128,True,PASS,PASS,0,20971520,1.4497,0.9513,1.524,6.232420206069946
2,1,128,4,128,4,128,True,PASS,PASS,0,327680,1.0718,1.0094,1.062,5.350719690322876
3,4,128,4,128,4,128,True,PASS,PASS,0,1310720,0.9932,0.9304,1.067,5.101614236831665
4,16,128,4,128,4,128,True,PASS,PASS,0,5242880,0.9824,0.9379,1.047,5.087726831436157
5,128,128,4,128,4,128,True,PASS,PASS,0,41943040,2.7525,1.8127,1.518,9.379449129104614
6,10000,128,4,128,4,128,True,PASS,PASS,0,3276800000,369.4943,265.6376,1.391,1044.4460983276367
7,64,32,4,128,4,32,True,PASS,PASS,0,5242880,0.9812,0.9024,1.087,4.98895001411438
8,64,1024,4,128,4,1024,True,PASS,PASS,0,167772160,14.34,14.3565,0.999,48.93716049194336
9,64,128,1,128,4,128,True,PASS,PASS,0,20971520,0.9438,0.9731,0.97,4.704991102218628
10,64,128,2,128,4,128,True,PASS,PASS,0,20971520,1.0711,0.8471,1.264,5.078667402267456
11,64,128,16,128,4,128,True,PASS,PASS,0,20971520,5.7006,1.0317,5.525,12.945579767227173
12,64,128,4,32,4,128,True,PASS,PASS,0,5242880,1.0211,0.9511,1.074,5.166922092437744
13,64,128,4,1024,4,128,True,PASS,PASS,0,167772160,85.9036,7.1788,11.966,154.5641896724701
14,32,1024,16,100000,2,1024,True,PREFLIGHT_BLOCKED,,,,,,,0.0
